Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'gravity': 0.6884314594384848, 'alpha': 0.016984454925562845}
Mejor rendimiento encontrado:
1.1072656684169608

Stderr:
[I 2024-10-21 10:28:03,261] A new study created in memory with name: no-name-93f00732-6246-4904-bb72-eaa9f3c68537
[I 2024-10-21 10:28:34,999] Trial 37 finished with value: 1.7312810383945418 and parameters: {'gravity': 0.4398039823990849, 'alpha': 0.014608555998478026}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:35,828] Trial 38 finished with value: 1.5236069010691562 and parameters: {'gravity': 0.49983737278646767, 'alpha': 0.01782050831868653}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:36,614] Trial 39 finished with value: 1.1825806280183047 and parameters: {'gravity': 0.6859873130749473, 'alpha': 0.016080220612954242}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:37,439] Trial 40 finished with value: 1.8540847812653558 and parameters: {'gravity': 0.61880205390422, 'alpha': 0.016122850431388846}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:38,274] Trial 41 finished with value: 1.4536695852716024 and parameters: {'gravity': 0.6823635378895211, 'alpha': 0.017090647846737708}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:39,062] Trial 42 finished with value: 1.637285834356093 and parameters: {'gravity': 0.3657287584444253, 'alpha': 0.015655715536656928}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:39,876] Trial 43 finished with value: 2.082418922574548 and parameters: {'gravity': 0.8027063636932027, 'alpha': 0.017771613831030035}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:40,678] Trial 44 finished with value: 1.799808180344053 and parameters: {'gravity': 0.9117703513898853, 'alpha': 0.016570188248304592}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:41,461] Trial 45 finished with value: 1.5948174337383954 and parameters: {'gravity': 0.5576864287194947, 'alpha': 0.01530626366993829}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:42,243] Trial 46 finished with value: 1.6533994800383658 and parameters: {'gravity': 0.6538696539294315, 'alpha': 0.01365389907468339}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:42,986] Trial 47 finished with value: 1.9582091189604043 and parameters: {'gravity': 0.8483556292375931, 'alpha': 0.01685193091108638}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:43,804] Trial 48 finished with value: 2.196566102764497 and parameters: {'gravity': 0.28497541489089306, 'alpha': 0.017368670585274887}. Best is trial 11 with value: 1.1072656684169608.
[I 2024-10-21 10:28:44,554] Trial 49 finished with value: 1.1532342774841595 and parameters: {'gravity': 0.760022172720791, 'alpha': 0.018452234828684494}. Best is trial 11 with value: 1.1072656684169608.
