Iteration_1 # 2 agents, 2 dimensions
rep = 17, x_best = [-0.3944395   0.19370013  0.17299631], f_best = 8.403419626642872
rep = 18, x_best = [-0.95664063  0.38609136 -0.5819903 ], f_best = 38.948254643455726
rep = 19, x_best = [-0.79222725 -0.00571883  0.19435032], f_best = 18.23443871928764
rep = 20, x_best = [-3.96327938e-04 -2.58996427e-06 -3.88654644e-01], f_best = 3.980648123404123
rep = 21, x_best = [-5.80751931e-01 -6.47780447e-07  2.50976022e-04], f_best = 8.980552790949915
rep = 22, x_best = [ 0.18396661  0.19432226 -0.19403591], f_best = 3.536303212927873
rep = 23, x_best = [-0.18003471  0.18429412  0.96827944], f_best = 28.47598774325928
rep = 24, x_best = [-1.20075323e-04  3.80353579e-01  1.94397509e-01], f_best = 5.328439225705118
rep = 25, x_best = [-0.38863812 -0.56495427 -0.38734564], f_best = 18.52859597640851
rep = 26, x_best = [ 0.19632216 -0.36675235  0.194396  ], f_best = 8.343503190242217
rep = 27, x_best = [-1.88260682e-01 -5.44352185e-07 -1.14681918e-02], f_best = 1.8616230530346485
rep = 28, x_best = [ 0.1889967   0.5832643  -0.19546133], f_best = 11.098730578967473
rep = 29, x_best = [0.77193949 0.38851482 0.00735691], f_best = 20.326239427650748
rep = 30, x_best = [ 0.00240604 -0.41243903 -0.18686578], f_best = 8.134511458275131
Iteration_6
rep = 1, x_best = [-0.20429223 -0.20445505 -0.2216543 ], f_best = 7.702330864563468
rep = 2, x_best = [-0.21219618 -0.19098451  0.20506595], f_best = 5.263031646725587
rep = 3, x_best = [-0.19523822 -0.1768837  -0.20352469], f_best = 4.958764350069721
rep = 4, x_best = [ 0.01495678  0.20653224 -0.20033261], f_best = 4.085988937196447
rep = 5, x_best = [-0.00986532 -0.20002854 -0.16226935], f_best = 7.493376858992015
rep = 6, x_best = [0.01608878 0.18410511 0.01079633], f_best = 3.448197462802561
rep = 7, x_best = [ 0.38943994  0.18114423 -0.01558068], f_best = 7.100523041170469
rep = 8, x_best = [ 0.17417153  0.00306677 -0.00941945], f_best = 3.5269649312830538
rep = 9, x_best = [ 0.00035769 -0.01348856 -0.21990835], f_best = 5.170337522572346
rep = 10, x_best = [0.19852955 0.38949061 0.19822172], f_best = 6.143953839199057
rep = 11, x_best = [-0.20047974  0.37994435 -0.21357293], f_best = 8.432296944354572
rep = 12, x_best = [-0.20709747 -0.1867305  -0.19046277], f_best = 4.199573814063509
rep = 13, x_best = [-0.20356178 -0.01369663 -0.18754358], f_best = 3.6290839733772273
rep = 14, x_best = [ 0.18575581  0.20115324 -0.1937726 ], f_best = 3.606684216413278
rep = 15, x_best = [ 0.02381528  0.2004274  -0.20545646], f_best = 5.631365477206444
rep = 16, x_best = [-0.19262885  0.18743336 -0.01097078], f_best = 2.869930525854418
rep = 17, x_best = [-0.20571838  0.21024679 -0.18392112], f_best = 5.506059573348104
rep = 18, x_best = [-0.00148604  0.00185447 -0.01432   ], f_best = 1.0772041727624355
rep = 19, x_best = [-0.19449329  0.01688051  0.00623006], f_best = 2.642365196669779
rep = 20, x_best = [ 0.18301332  0.0209622  -0.01333972], f_best = 4.762429549885894
rep = 21, x_best = [ 0.00920294 -0.00949277  0.2069027 ], f_best = 2.711613803684763
rep = 22, x_best = [0.00644887 0.1653094  0.02072075], f_best = 7.391209275335807
rep = 23, x_best = [ 0.20054396 -0.00865173 -0.19539865], f_best = 2.5832843841532025
rep = 24, x_best = [ 0.18980961 -0.18795085  0.00970122], f_best = 2.791404717254572
rep = 25, x_best = [0.00068706 0.21185783 0.18566901], f_best = 3.943495662804491
rep = 26, x_best = [ 0.00492494 -0.19809277  0.19744355], f_best = 2.239957247386826
rep = 27, x_best = [0.01565071 0.2254863  0.19984589], f_best = 8.085990949014324
rep = 28, x_best = [-0.21149865  0.01463747 -0.00460885], f_best = 3.7021589244938156
rep = 29, x_best = [-0.01108279 -0.18004612  0.00730964], f_best = 2.940419411363166
rep = 30, x_best = [ 0.19236397 -0.2048746   0.22484477], f_best = 8.093558724664113

Iteration_7
rep = 1, x_best = [ 0.37949036 -0.36542014  0.00507581], f_best = 11.155159796019984
rep = 2, x_best = [-2.48074360e-04  3.88332925e-01 -4.00382328e-01], f_best = 8.671624891648996
rep = 3, x_best = [ 0.40586311 -0.19322557  0.02814501], f_best = 10.344319988259777
rep = 4, x_best = [-0.58866928  0.20159882 -0.00128551], f_best = 10.400497362943089
rep = 5, x_best = [-0.21631365  0.38312367  0.1861278 ], f_best = 8.902442219009703
rep = 6, x_best = [-0.41678974  0.0118564   0.20561664], f_best = 10.2669728164053
rep = 7, x_best = [0.18767722 0.3818653  0.03303137], f_best = 10.60325632336182
rep = 8, x_best = [-0.00265563 -0.19973152 -0.39377349], f_best = 5.299286666415419
rep = 9, x_best = [-0.17305315 -0.18764945 -0.15136407], f_best = 13.503853655809255
rep = 10, x_best = [-0.22882759 -0.01176938  0.3734275 ], f_best = 12.50245680802211
rep = 11, x_best = [ 0.37332656 -0.19501297 -0.17680033], f_best = 8.700756697084362
rep = 12, x_best = [-0.39060302 -0.17406056 -0.38544438], f_best = 11.074353598665162
rep = 13, x_best = [-0.01748717 -0.38704332  0.01461796], f_best = 6.6334758364798105
rep = 14, x_best = [-0.03623098 -0.1690311  -0.19008069], f_best = 11.2955716455423
rep = 15, x_best = [ 0.02124121  0.00159605 -0.1836742 ], f_best = 3.847427847691357
rep = 16, x_best = [ 0.19520894 -0.19015207  0.04563435], f_best = 11.11329535162842
rep = 17, x_best = [ 0.19587394 -0.17788477  0.5594179 ], f_best = 14.995279690253057
rep = 18, x_best = [ 0.00510619 -0.42866408 -0.00352145], f_best = 11.615134020466247
rep = 19, x_best = [-0.03106054  0.21902489  0.1857208 ], f_best = 10.020838314010547
rep = 20, x_best = [-0.37553859 -0.0006502  -0.38666399], f_best = 8.854343233260991
rep = 21, x_best = [-0.0216537   0.03952116  0.01355725], f_best = 10.374339676392012
rep = 22, x_best = [ 0.37959632 -0.1977785  -0.17068697], f_best = 9.197924667912165
rep = 23, x_best = [-0.00438787 -0.35672269  0.03759189], f_best = 15.317108995016756
rep = 24, x_best = [ 0.19712891  0.01608476 -0.028578  ], f_best = 6.309728705556655
rep = 25, x_best = [0.0266977  0.19670073 0.03933822], f_best = 11.544805654139651
rep = 26, x_best = [ 0.19626443 -0.23013706 -0.38353867], f_best = 12.163667678986116
rep = 27, x_best = [-0.21496577  0.17590698 -0.02073927], f_best = 7.997199541240143
rep = 28, x_best = [-0.38019569 -0.39052914 -0.00427812], f_best = 8.439954607354501
rep = 29, x_best = [-0.41808967  0.00072589  0.1486893 ], f_best = 18.111604564739658
rep = 30, x_best = [ 0.20769777 -0.01081571  0.36973992], f_best = 8.273567872595532
Iteration_8
rep = 1, x_best = [-0.20035207  0.00232353  0.02132134], f_best = 3.484925996984888
rep = 2, x_best = [-0.17611337 -0.01484012 -0.00985465], f_best = 4.28529780114971
rep = 3, x_best = [-0.01052699 -0.19414615  0.19786929], f_best = 2.6261639279854947
rep = 4, x_best = [-0.19113627 -0.17192202  0.00966828], f_best = 5.004849703390001
rep = 5, x_best = [-0.00401473  0.00258537  0.00307583], f_best = 0.16761506341352828
rep = 6, x_best = [-0.20027696  0.20587416  0.17918286], f_best = 5.019442542683937
rep = 7, x_best = [0.0046194  0.01741148 0.01245992], f_best = 2.4435507688018703
