Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3957402827395901, 'self_conf': 2.2568008160256836, 'swarm_conf': 2.3221075041891215, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6318196136628489, 'angle': 2.067774088773747, 'sigma': 0.11226822266391662}
Mejor rendimiento encontrado:
28.744964218045794

Stderr:
[I 2024-11-21 00:37:00,788] A new study created in memory with name: no-name-11c99ebe-236b-4ac9-a633-22d2beed715b
[I 2024-11-21 00:37:57,333] Trial 37 finished with value: 49.664395305655944 and parameters: {'factor': 0.301184946532924, 'self_conf': 1.421643674702055, 'swarm_conf': 2.6807542344925825, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.837125303710272, 'angle': 1.2988204415131945, 'sigma': 0.18891799603114762}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:37:58,855] Trial 38 finished with value: 99.20008507185135 and parameters: {'factor': 0.5265672029597089, 'self_conf': 0.8561019633331275, 'swarm_conf': 2.526976868343379, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6244631640945212, 'angle': 1.633207779005423, 'sigma': 0.13546349039458147}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:00,475] Trial 39 finished with value: 46.14927012309211 and parameters: {'factor': 0.8027378863652594, 'self_conf': 2.0876724582372232, 'swarm_conf': 2.4107382976349006, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7277663551573422, 'angle': 1.8249316226036416, 'sigma': 0.10796063431104827}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:01,959] Trial 40 finished with value: 86.59133145493081 and parameters: {'factor': 0.6252965455902354, 'self_conf': 2.4150522323401247, 'swarm_conf': 2.466515478516798, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5523108669748545, 'angle': 1.9737295140801072, 'sigma': 0.1429535416179051}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:03,456] Trial 41 finished with value: 29.462136174303122 and parameters: {'factor': 0.38666894138714314, 'self_conf': 2.166656081886893, 'swarm_conf': 2.2111555645094474, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.640535148039995, 'angle': 2.132656493002302, 'sigma': 0.10043087369940709}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:04,927] Trial 42 finished with value: 29.234006468011604 and parameters: {'factor': 0.3488890994246543, 'self_conf': 2.16332380166956, 'swarm_conf': 2.170300364407709, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6711185403062396, 'angle': 2.1505926397004638, 'sigma': 0.10351698287119776}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:06,403] Trial 43 finished with value: 31.93329990769333 and parameters: {'factor': 0.3381773050152888, 'self_conf': 2.146678112794145, 'swarm_conf': 2.175582421534705, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7082004741968273, 'angle': 2.1554279772130647, 'sigma': 0.08339867004968121}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:07,890] Trial 44 finished with value: 36.87421392264898 and parameters: {'factor': 0.21524532596228546, 'self_conf': 2.118666248850074, 'swarm_conf': 2.03891508220677, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6730674999109505, 'angle': 2.1602700027773967, 'sigma': 0.08949194891548685}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:09,393] Trial 45 finished with value: 34.02585363242848 and parameters: {'factor': 0.33068611124588493, 'self_conf': 2.238255622306398, 'swarm_conf': 2.1608893134011318, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5985494590256184, 'angle': 2.2422765356429957, 'sigma': 0.07959371594433635}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:10,841] Trial 46 finished with value: 105.85587008284456 and parameters: {'factor': 0.28114590018298363, 'self_conf': 1.8260540327648291, 'swarm_conf': 1.954510163407455, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7073941122709154, 'angle': 2.158202590557066, 'sigma': 0.1047528145929344}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:12,469] Trial 47 finished with value: 58.943958479739464 and parameters: {'factor': 0.11492240055001596, 'self_conf': 0.43268657775071984, 'swarm_conf': 2.247752298291678, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7731505022884297, 'angle': 0.5122322517287738, 'sigma': 0.07557165223707958}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:14,043] Trial 48 finished with value: 86.06765385683109 and parameters: {'factor': 0.46448868706960283, 'self_conf': 1.6869518787035733, 'swarm_conf': 2.083622217907794, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.16014084366963477, 'angle': 2.1310238315337395, 'sigma': 0.12002585045484561}. Best is trial 16 with value: 28.744964218045794.
[I 2024-11-21 00:38:15,587] Trial 49 finished with value: 35.84227205892464 and parameters: {'factor': 0.42556423280747885, 'self_conf': 2.1376119759124492, 'swarm_conf': 2.1785835301007217, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6535399564710662, 'angle': 2.248522515408824, 'sigma': 0.0944779446110247}. Best is trial 16 with value: 28.744964218045794.
